event_id,label,scenario,time_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
SIM-0075,0,pothole,0,0.001451,0.001649,0.982610,5.920384,2.285020,4.691346
SIM-0075,0,pothole,10,-0.020503,0.028776,1.042030,5.171389,3.850483,5.081742
SIM-0075,0,pothole,20,-0.053520,0.017422,1.013779,4.914184,2.558931,0.708902
SIM-0075,0,pothole,30,0.013169,0.025316,1.076818,6.408188,0.013639,3.234117
SIM-0075,0,pothole,40,0.006102,0.039978,1.041011,4.500639,-0.455368,-0.458550
SIM-0075,0,pothole,50,-0.007484,0.001511,1.058545,2.500735,-0.690051,5.184588
SIM-0075,0,pothole,60,-0.016515,0.017130,1.023339,4.126171,1.872123,2.660750
SIM-0075,0,pothole,70,-0.026516,-0.002922,0.987293,2.436266,3.482182,1.807351
SIM-0075,0,pothole,80,0.077718,0.040688,0.957305,7.234293,0.942348,6.420923
SIM-0075,0,pothole,90,-0.018840,0.023125,0.925356,4.051513,4.172943,6.584649
SIM-0075,0,pothole,100,-0.013907,0.049982,0.950449,2.177060,3.489164,7.141770
SIM-0075,0,pothole,110,-0.010203,0.029267,0.983497,4.132422,4.019438,2.737917
SIM-0075,0,pothole,120,0.028407,0.043953,0.950652,3.840756,3.063145,5.596959
SIM-0075,0,pothole,130,0.013926,0.046771,0.974242,5.416060,1.503762,4.752118
SIM-0075,0,pothole,140,-0.000277,0.050678,1.033686,4.857134,3.761279,4.930190
SIM-0075,0,pothole,150,0.021345,0.047911,1.036322,4.787690,1.542005,5.236321
SIM-0075,0,pothole,160,-0.013153,-0.016485,1.020425,6.130584,3.140952,5.861100
SIM-0075,0,pothole,170,0.015032,0.018158,0.991334,3.972440,2.677018,7.260487
SIM-0075,0,pothole,180,0.031727,0.040219,0.998130,4.772787,2.514190,3.834198
SIM-0075,0,pothole,190,-0.012840,0.036617,0.997655,0.999160,2.454764,4.504542
SIM-0075,0,pothole,200,0.040441,0.030130,0.941646,2.869548,3.070254,6.091385
SIM-0075,0,pothole,210,-0.010944,0.077194,0.950330,2.542356,3.992735,4.963514
SIM-0075,0,pothole,220,-0.020902,0.055390,1.011216,5.209292,3.884565,3.860257
SIM-0075,0,pothole,230,0.002904,0.070021,0.964548,3.559873,0.123245,5.756636
SIM-0075,0,pothole,240,0.020757,0.044977,1.031100,6.324025,3.178363,3.532441
SIM-0075,0,pothole,250,-0.044654,0.066128,1.010514,4.765888,3.765641,4.471248
SIM-0075,0,pothole,260,-0.024509,0.021905,1.041899,3.405701,3.159747,2.131820
SIM-0075,0,pothole,270,-0.000378,0.039883,0.978396,5.271865,2.748687,3.260634
SIM-0075,0,pothole,280,0.017346,0.022864,1.011709,5.732206,0.387894,4.546661
