cell_v,adc_v,led_forward_v,led_ma,divider_ua
3.0,1.5,1.8,6.818181818181817,15.0
3.0,1.5,2,5.909090909090908,15.0
3.0,1.5,2.2,4.999999999999998,15.0
3.1,1.55,1.8,6.818181818181817,15.5
3.1,1.55,2,5.909090909090908,15.5
3.1,1.55,2.2,4.999999999999998,15.5
3.2,1.6,1.8,6.818181818181817,16.0
3.2,1.6,2,5.909090909090908,16.0
3.2,1.6,2.2,4.999999999999998,16.0
3.3,1.65,1.8,6.818181818181817,16.499999999999996
3.3,1.65,2,5.909090909090908,16.499999999999996
3.3,1.65,2.2,4.999999999999998,16.499999999999996
3.4,1.7,1.8,6.818181818181817,17.0
3.4,1.7,2,5.909090909090908,17.0
3.4,1.7,2.2,4.999999999999998,17.0
3.5,1.75,1.8,6.818181818181817,17.5
3.5,1.75,2,5.909090909090908,17.5
3.5,1.75,2.2,4.999999999999998,17.5
3.6,1.8,1.8,6.818181818181817,18.0
3.6,1.8,2,5.909090909090908,18.0
3.6,1.8,2.2,4.999999999999998,18.0
3.7,1.85,1.8,6.818181818181817,18.500000000000004
3.7,1.85,2,5.909090909090908,18.500000000000004
3.7,1.85,2.2,4.999999999999998,18.500000000000004
3.8,1.9,1.8,6.818181818181817,19.0
3.8,1.9,2,5.909090909090908,19.0
3.8,1.9,2.2,4.999999999999998,19.0
3.9,1.95,1.8,6.818181818181817,19.500000000000004
3.9,1.95,2,5.909090909090908,19.500000000000004
3.9,1.95,2.2,4.999999999999998,19.500000000000004
4.0,2.0,1.8,6.818181818181817,20.0
4.0,2.0,2,5.909090909090908,20.0
4.0,2.0,2.2,4.999999999999998,20.0
4.1,2.05,1.8,6.818181818181817,20.500000000000004
4.1,2.05,2,5.909090909090908,20.500000000000004
4.1,2.05,2.2,4.999999999999998,20.500000000000004
4.2,2.1,1.8,6.818181818181817,21.000000000000004
4.2,2.1,2,5.909090909090908,21.000000000000004
4.2,2.1,2.2,4.999999999999998,21.000000000000004
