event_id,label,scenario,baseline_prediction,ordered_prediction,crashguard_prediction,baseline_detection_ms,ordered_detection_ms,crashguard_detection_ms,baseline_confirmation_delay_ms,ordered_confirmation_delay_ms,crashguard_confirmation_delay_ms
FRESH-00-00,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-01,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-02,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-03,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-04,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-05,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-06,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-07,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-08,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-09,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-10,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-11,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-12,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-13,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-14,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-15,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-16,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-17,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-18,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-19,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-20,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-21,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-22,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-23,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-24,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-25,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-26,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-27,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-28,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-00-29,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-01-00,0,pothole,1,0,0,4210,-1,-1,0,-1,-1
FRESH-01-01,0,pothole,1,0,0,3810,-1,-1,0,-1,-1
FRESH-01-02,0,pothole,1,0,0,4200,-1,-1,0,-1,-1
FRESH-01-03,0,pothole,1,0,0,4750,-1,-1,0,-1,-1
FRESH-01-04,0,pothole,1,0,0,4630,-1,-1,0,-1,-1
FRESH-01-05,0,pothole,1,0,0,4720,-1,-1,0,-1,-1
FRESH-01-06,0,pothole,1,0,0,4530,-1,-1,0,-1,-1
FRESH-01-07,0,pothole,1,0,0,4510,-1,-1,0,-1,-1
FRESH-01-08,0,pothole,1,0,0,4420,-1,-1,0,-1,-1
FRESH-01-09,0,pothole,1,0,0,4780,-1,-1,0,-1,-1
FRESH-01-10,0,pothole,1,0,0,4360,-1,-1,0,-1,-1
FRESH-01-11,0,pothole,1,0,0,3930,-1,-1,0,-1,-1
FRESH-01-12,0,pothole,1,0,0,4810,-1,-1,0,-1,-1
FRESH-01-13,0,pothole,1,0,0,4340,-1,-1,0,-1,-1
FRESH-01-14,0,pothole,1,0,0,4040,-1,-1,0,-1,-1
FRESH-01-15,0,pothole,1,0,0,4330,-1,-1,0,-1,-1
FRESH-01-16,0,pothole,1,0,0,4480,-1,-1,0,-1,-1
FRESH-01-17,0,pothole,1,0,0,4500,-1,-1,0,-1,-1
FRESH-01-18,0,pothole,1,0,0,4900,-1,-1,0,-1,-1
FRESH-01-19,0,pothole,1,0,0,4960,-1,-1,0,-1,-1
FRESH-01-20,0,pothole,1,0,0,4460,-1,-1,0,-1,-1
FRESH-01-21,0,pothole,1,0,0,4790,-1,-1,0,-1,-1
FRESH-01-22,0,pothole,1,0,0,5020,-1,-1,0,-1,-1
FRESH-01-23,0,pothole,1,0,0,4890,-1,-1,0,-1,-1
FRESH-01-24,0,pothole,1,0,0,5000,-1,-1,0,-1,-1
FRESH-01-25,0,pothole,1,0,0,4670,-1,-1,0,-1,-1
FRESH-01-26,0,pothole,1,0,0,4240,-1,-1,0,-1,-1
FRESH-01-27,0,pothole,1,0,0,4270,-1,-1,0,-1,-1
FRESH-01-28,0,pothole,1,0,0,4120,-1,-1,0,-1,-1
FRESH-01-29,0,pothole,1,0,0,3760,-1,-1,0,-1,-1
FRESH-02-00,0,speed_breaker,1,0,0,4620,-1,-1,0,-1,-1
FRESH-02-01,0,speed_breaker,1,0,0,4670,-1,-1,0,-1,-1
FRESH-02-02,0,speed_breaker,1,0,0,5130,-1,-1,0,-1,-1
FRESH-02-03,0,speed_breaker,1,0,0,4280,-1,-1,0,-1,-1
FRESH-02-04,0,speed_breaker,1,0,0,4730,-1,-1,0,-1,-1
FRESH-02-05,0,speed_breaker,1,0,0,4860,-1,-1,0,-1,-1
FRESH-02-06,0,speed_breaker,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-02-07,0,speed_breaker,1,0,0,3980,-1,-1,0,-1,-1
FRESH-02-08,0,speed_breaker,1,0,0,4850,-1,-1,0,-1,-1
FRESH-02-09,0,speed_breaker,1,0,0,3910,-1,-1,0,-1,-1
FRESH-02-10,0,speed_breaker,1,0,0,4890,-1,-1,0,-1,-1
FRESH-02-11,0,speed_breaker,1,0,0,4830,-1,-1,0,-1,-1
FRESH-02-12,0,speed_breaker,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-02-13,0,speed_breaker,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-02-14,0,speed_breaker,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-02-15,0,speed_breaker,1,0,0,4530,-1,-1,0,-1,-1
FRESH-02-16,0,speed_breaker,1,0,0,4140,-1,-1,0,-1,-1
FRESH-02-17,0,speed_breaker,1,0,0,4600,-1,-1,0,-1,-1
FRESH-02-18,0,speed_breaker,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-02-19,0,speed_breaker,1,0,0,4380,-1,-1,0,-1,-1
FRESH-02-20,0,speed_breaker,1,0,0,4660,-1,-1,0,-1,-1
FRESH-02-21,0,speed_breaker,1,0,0,5030,-1,-1,0,-1,-1
FRESH-02-22,0,speed_breaker,1,0,0,4380,-1,-1,0,-1,-1
FRESH-02-23,0,speed_breaker,1,0,0,4560,-1,-1,0,-1,-1
FRESH-02-24,0,speed_breaker,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-02-25,0,speed_breaker,0,0,0,-1,-1,-1,-1,-1,-1
FRESH-02-26,0,speed_breaker,1,0,0,4350,-1,-1,0,-1,-1
FRESH-02-27,0,speed_breaker,1,0,0,3730,-1,-1,0,-1,-1
FRESH-02-28,0,speed_breaker,1,0,0,3940,-1,-1,0,-1,-1
