event_id,label,scenario,baseline_prediction,ordered_prediction,crashguard_prediction,baseline_detection_ms,ordered_detection_ms,crashguard_detection_ms,baseline_confirmation_delay_ms,ordered_confirmation_delay_ms,crashguard_confirmation_delay_ms
SIM-0000,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0001,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0002,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0003,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0004,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0005,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0006,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0007,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0008,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0009,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0010,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0011,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0012,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0013,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0014,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0015,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0016,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0017,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0018,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0019,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0020,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0021,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0022,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0023,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0024,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0025,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0026,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0027,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0028,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0029,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0030,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0031,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0032,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0033,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0034,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0035,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0036,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0037,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0038,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0039,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0040,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0041,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0042,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0043,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0044,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0045,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0046,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0047,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0048,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0049,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0050,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0051,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0052,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0053,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0054,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0055,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0056,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0057,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0058,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0059,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0060,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0061,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0062,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0063,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0064,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0065,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0066,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0067,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0068,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0069,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0070,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0071,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0072,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0073,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0074,0,normal_riding,0,0,0,-1,-1,-1,-1,-1,-1
SIM-0075,0,pothole,1,0,0,5170,-1,-1,0,-1,-1
SIM-0076,0,pothole,1,0,0,5050,-1,-1,0,-1,-1
SIM-0077,0,pothole,1,0,0,4080,-1,-1,0,-1,-1
SIM-0078,0,pothole,1,0,0,4900,-1,-1,0,-1,-1
SIM-0079,0,pothole,1,0,0,4350,-1,-1,0,-1,-1
SIM-0080,0,pothole,1,0,0,4830,-1,-1,0,-1,-1
SIM-0081,0,pothole,1,0,0,5180,-1,-1,0,-1,-1
SIM-0082,0,pothole,1,0,0,4400,-1,-1,0,-1,-1
SIM-0083,0,pothole,1,0,0,4690,-1,-1,0,-1,-1
SIM-0084,0,pothole,1,0,0,4220,-1,-1,0,-1,-1
SIM-0085,0,pothole,1,0,0,3750,-1,-1,0,-1,-1
SIM-0086,0,pothole,1,0,0,4960,-1,-1,0,-1,-1
SIM-0087,0,pothole,1,0,0,4830,-1,-1,0,-1,-1
SIM-0088,0,pothole,1,0,0,4630,-1,-1,0,-1,-1
SIM-0089,0,pothole,1,0,0,4410,-1,-1,0,-1,-1
SIM-0090,0,pothole,1,0,0,4410,-1,-1,0,-1,-1
SIM-0091,0,pothole,1,0,0,4860,-1,-1,0,-1,-1
SIM-0092,0,pothole,1,0,0,4360,-1,-1,0,-1,-1
SIM-0093,0,pothole,1,0,0,4940,-1,-1,0,-1,-1
SIM-0094,0,pothole,1,0,0,3830,-1,-1,0,-1,-1
SIM-0095,0,pothole,1,0,0,5030,-1,-1,0,-1,-1
SIM-0096,0,pothole,1,0,0,4990,-1,-1,0,-1,-1
SIM-0097,0,pothole,1,0,0,4860,-1,-1,0,-1,-1
SIM-0098,0,pothole,1,0,0,4300,-1,-1,0,-1,-1
SIM-0099,0,pothole,1,0,0,3850,-1,-1,0,-1,-1
SIM-0100,0,pothole,1,0,0,4070,-1,-1,0,-1,-1
SIM-0101,0,pothole,1,0,0,3800,-1,-1,0,-1,-1
SIM-0102,0,pothole,1,0,0,3810,-1,-1,0,-1,-1
SIM-0103,0,pothole,1,0,0,4240,-1,-1,0,-1,-1
SIM-0104,0,pothole,1,0,0,5110,-1,-1,0,-1,-1
SIM-0105,0,pothole,1,0,0,4560,-1,-1,0,-1,-1
SIM-0106,0,pothole,1,0,0,3870,-1,-1,0,-1,-1
SIM-0107,0,pothole,1,0,0,4430,-1,-1,0,-1,-1
SIM-0108,0,pothole,1,0,0,3900,-1,-1,0,-1,-1
SIM-0109,0,pothole,1,0,0,3820,-1,-1,0,-1,-1
SIM-0110,0,pothole,1,0,0,4770,-1,-1,0,-1,-1
SIM-0111,0,pothole,1,0,0,4050,-1,-1,0,-1,-1
SIM-0112,0,pothole,1,0,0,4850,-1,-1,0,-1,-1
SIM-0113,0,pothole,1,0,0,4270,-1,-1,0,-1,-1
SIM-0114,0,pothole,1,0,0,4520,-1,-1,0,-1,-1
SIM-0115,0,pothole,1,0,0,4910,-1,-1,0,-1,-1
SIM-0116,0,pothole,1,0,0,4570,-1,-1,0,-1,-1
SIM-0117,0,pothole,1,0,0,4280,-1,-1,0,-1,-1
SIM-0118,0,pothole,1,0,0,4840,-1,-1,0,-1,-1
SIM-0119,0,pothole,1,0,0,5070,-1,-1,0,-1,-1
SIM-0120,0,pothole,1,0,0,3790,-1,-1,0,-1,-1
SIM-0121,0,pothole,1,0,0,4490,-1,-1,0,-1,-1
SIM-0122,0,pothole,1,0,0,4210,-1,-1,0,-1,-1
SIM-0123,0,pothole,1,0,0,4180,-1,-1,0,-1,-1
SIM-0124,0,pothole,1,0,0,3780,-1,-1,0,-1,-1
