recording,label,samples_100hz,peak_acceleration_g,minimum_acceleration_g,peak_angular_rate_dps,passes_strict_acceleration_4g,passes_crashguard_acceleration,passes_strict_rotation_200dps,passes_crashguard_rotation
Fall on a slippery straight road section,1,300,1.1687683401687385,0.013320606880084103,179.3534436361872,0,1,0,1
Fall with leaning of the motorcycle,1,300,1.8780329774948024,0.04090969156086132,144.06995348963864,0,1,0,1
Fall in the roundabout,1,300,1.689564657131486,0.011261449746065952,150.48782486513088,0,1,0,1
Fall in a curve,1,300,1.4360226168709689,0.13044204050633854,151.6081563278681,0,1,0,1
Acceleration On Curve,0,4794,1.5366238837913289,0.013821435758300103,103.73624188210343,0,1,0,1
Acceleration On Straight Line,0,13831,1.5687129697018347,0.0156745459502214,118.98094686849127,0,1,0,1
Fall Like manoeuvre 1,0,13248,1.7439264186018635,0.0174514235205952,61.2172399201275,0,1,0,0
Fall Like manoeuvre 2,0,14893,1.5169889555085558,0.01674670206649165,51.05790657085563,0,1,0,0
Fall Like manoeuvre 3,0,12845,1.7471457242290012,0.01774894063614213,66.76353154477312,0,1,0,0
Harsh breaking On Straight Line,0,11149,1.6170193812422569,0.013790514183912257,106.539485651097,0,1,0,1
Much degraded track,0,13210,2.579119151890254,0.015972611927026648,77.1749153826268,0,1,0,0
